"LP","Quais são os monossílabos acentuados?","Os terminados em a(s), e(s), o(s) e ditongos crescentes ei(s), eu(s), oi(s)."
"LP","Quais são as oxítonas acentuadas?","As terminadas em a(s), e(s), o(s), em, ens e ditongos crescentes ei(s), eu(s), oi(s)."
"LP","Quais são as paroxítonas que não se acentuam?","As terminadas em a(s), e(s), o(s), em, ens. E os ditongos abertos éi e ói ( \i ideia \i )."
"LP","Quais são as proparoxítonas acentuadas?""","Todas as proparoxítonas são acentuadas."
"LP","Quais são os hiatos que se acentuam?","O 'i' e o 'u' tônicos dos hiatos, com ou sem s."
"SI","Quais são os papéis no SAML?","Service Provider, User Agent, Identity Provider"
"LP","Quais são as excessões dos hiatos acentuados?","Seguidos de nh ( \i rainha \i ), repetição de vogal ( \i xiita \i ) e formação de sílaba com consoante que não seja S ( \i juiz \i )."
"SI","Quais são os papéis no OAuth?","Resource Owner, Client, Authorization Server, Resource Server."
"DI","No aprendizado de máquina a árvore de decisão pode ser usada para?","Para classificação e regressão."
"RL","Como que o se então vira ou?","Negando a primeira e mantendo a segunda."
"RL","Como se inverte um se então?","Negando os dois e invertendo."
"RL","A condição suficiente é qual na proposição condicional?","A primeira."
"RL","A condição necessária é qual na proposição condicional?","A segunda."
"RL","Como pode ser reescrito todo A é B em condicional?","Se A então B."
"RL","Qual a equivalência de P <-> Q?","( P -> Q ) ^ ( Q -> P )"
"DI","Aprendizado de máquina com dados não rótulos é chamado de?","Aprendizado não supervisionado."
"DI","Aprendizado de máquina com dados rótulos se chama?","Aprendizado supervisionado."
"DI","Como se chama o aprendizado de máquina através de um sistema de recompensas?","Aprendizado por reforço."
"DI","Qual o tipo de aprendizado de máquina que é preditivo?","Aprendizado supervisionado."
"DI","Qual o tipo de aprendizado de máquina que é descritivo?","Aprendizado não supervisionado."
"DI","Um dos problemas de classificação no aprendizado supervisionado é o?","Classes des-balanceadas."
"DI","Um dos problemas na regressão no aprendizado supervisionado é o?","Dados não representativos. Também chamado de viés de amostragem."
"DI","O que é um viés de informação?","É uma tendência de um classificador aprender consistentemente uma generalização incorreta."
"DI","Como é chamado o problema quando um modelo de aprendizado de máquina é pouco treinado?","Underfitting."
"DI","Como é chamado o problema quando um modelo de aprendizado de máquina é muito treinado?","Overfitting."
"LP","Quando a vírgula é obrigatória no caso dos adjuntos adverbias?","Quando esses estiverem no início da frase ou no meio dela."
"SI","O que é o ataque SMURF?","Vai usar da estratégia de redirecionamento de tráfego com base na adulteração / mascaração do endereço IP."
"SI","Qual o objetivo do atque SMURF?","Visa afetar a disponibilidade da informação."
"SI","Com quantos bits trabalha o algoritmo de criptografia DES?","56 bits ao todo e 48 aproveitáveis."
"SI","O que é o ataque de Defacement (Desfiguração) ?","É adulterar uma página web com objetivo de vandalismo."
"SI","O que é o Phising?","Clonar uma página a fim de obtenção de informações privadas."
"SI","Qual a diferença do Spear Phishing para o Phishing?","É o Phishing feito com uma vítima / público específicos."
"DS","No CSS como se seleciona o elemento filho?","Com o operador >"
"DS","No CSS como se seleciona os elementos descendentes?","Colocando um espaço e indicando o proximo seletor."
"DS","No CSS como se seleciona o primeiro elemento irmão?","Com o operador +"
"DS","No CSS como se seleciona todos os elementos irmãos?","Com o operador ~"
"DS","Como se usa o seletor do CSS que usa os atributos?","tag[attr=igual]  ou  tag[attr^=começam]  ou  tag[attr$=terminam]"
"DS","Quais são as principais pseudo classes do CSS?","tag:link  tag:hover  tag:active  tag:inactive  tag:first-child  tag:nth-child"
"DS","Quais são os principais pseudo elementos do CSS?","tag::first-line  tag::first-letter  tag::after  tag::before"
"DS","Como se faz para no seletor do CSS excluir um elemento específico da seleção?","tag:not(:first-child)  tag:not(:last-child)  tag:not(#id)  tag:not(.classe)"
"DS","Como se faz para selecionar no CSS um elemento em específico?","tag:nth-child(odd)  tag:nth-child(even)  tag:nth-child(3) tag:nth-child(3n)  tag:nth-child(3n + 1)"
"SI","O que é o ataque de Pharming?","Quando o tráfego de um site é direcionado para outro."
"DS","Quais as funções do Python para ler um arquivo?","open, read, readlines \n  \n file = open('name.txt') \n entire = file.read() \n lines = file.readlines()"
"SI","Como também é conhecido o Pharming?","Envenenamento de DNS"
"DS","Como a gente pode fechar um arquivo automaticamene em Python?","with open('name.txt') as file: \n   contents = file.read"
"DS","Quais são os modos de abertura de arquivos em Python?","open('name.txt', mode='...') \n  \n r - read only \n w - write only, overwrite or create \n a - append only \n r+ - reading and writing \n w+ - writing and reading, overwrite or create"
"DS","Qual a diferença no Python das funções sort e sorted?","O sort ordena a própria array e o sorted retorna uma nova array ordenada."
"DS","Como podemos verificar se uma substring está presente em outra string em Python?","Usando o commando in \n  \n 'ab' in 'abc'"
"DS","Como podemos verificar se uma chave está presente em um dicionário em Python?","Usando o commando in \n  \n d = {'key': 12} \n 'key' in d"
"DS","Como criar uma lista de caracteres em Python com um laço intrínsico?","mylist = [letter for letter in 'string']"
"DS","Como se faz um ternário em Python?","even = 'even' if True else 'odd'"
"DS","Qual a diferença entre o redirect e o forward no JavaEE?","No encaminhamento as variáveis de requisição são repassadas enquanto no redirecionamento não. \n  \n getServletContext().getRequestDispatcher(""target.jsp"").forward(req, resp); \n  \n resp.sendRedirect(req.getContextPath() +""target.jsp"");"
"DS","Qual é a ordem de leitura de escopos em Python?","LEGB \n  \n L - Local \n E - Enclosing \n G - Global \n B - Built-in"
"DS","Como se define uma função em Python?","def myfunc():"
"RL","Como se demonstra que uma proposição é inválida?","Com um exemplo em que as premissas são verdadeiras e a conclusão é falsa ou vice-versa."
"LP","Quais são os passos para verificar uma conjunção verbal?","1. Colocar o verbo no infinitivo. \n 2. Identificar verbo líder dele. \n 3. Acomodar o líder na frase. \n 4. Verificar se o original está na mesma conjungação do líder acomodado."
"DS","Como se faz para declarar um método abstrato em Python?","Declara a função com o decorator @abstractmethod e levanta uma excessão ( raise ) NotImplementedError."
"SI","O que é o ataque de Spoofing?","É quando um atacante se passa por outra pessoa ou entidade."
"SI","Quais são os métodos de autenticação?","Algo que você sabe, algo que você tem, algo que você é."
"SI","Quais são os métodos de cifragem?","Substituição, Transposição, Esteganografia (Esconder)."
"DS","Quando se faz um bit shift para a esquerda o que acontece?","O valor é multiplicado por 2."
"DS","Quando se faz um bit shift para a direita o que acontece?","O valor é dividido por 2."
"SI","Como funciona o método de criptografia de bloco ECB?","É uma técnica não randômica que a informação é dividida em blocos menores e cada um é criptografado individualmente. Cada bloco tem 64 bits. Erro de transmissão em um bloco não afeta os outros. Usa-se a mesma chave para todos os blocos."
"SI","Como funciona o método de criptografia de bloco CBC?","Utiliza operações XOR. Cifragem de cada bloco depende de todos os anteriores. Usa-se um vetor de inicialização (IV) para o primeiro bloco. Erro de transmissão em um bloco afeta os outros. Usa-se a mesma chave para todos os blocos."
"DS","Como se faz para declarar uma variável global em Python?","global myvar"
"DS","O que precisa ter uma pasta para o Python reconhecer como um pacote?","Um arquivo __init__.py"
"SI","O que caracteriza um serviço de IaaS?","O provedor fornece a infraestrutura de TI, como servidores, máquinas virtuais, armazenamento, redes e sistemas operacionais, como um serviço sob demanda."
"SI","Qual o serivço da Amazon que fornece IaaS","EC2 - Elastic Compute Cloud"
"SI","Qual o serviço do Google que fornece IaaS","GCE - Google Compute Engine"
"SI","Qual o serviço da Microsoft que fornece IaaS","Azure Virtual Machines"
"SI","O que caracteriza um serviço de PaaS?","É caracterizado por um ambiente de desenvolvimento e implantação completo na nuvem, com recursos que permitem fornecer tudo, desde aplicativos simples até complexos."
"SI","Qual o serivço da Amazon que fornece PaaS","AWS Elastic Beanstalk"
"SI","Qual o serviço do Google que fornece PaaS","Google App Engine"
"SI","Qual o serviço da Microsoft que fornece PaaS","Azure App Service"
"SI","O que caracteriza um serviço de SaaS?","É um modelo de distribuição de software em que um provedor de serviços terceirizado hospeda aplicativos e os disponibiliza aos clientes pela Internet."
"SI","Qual um exemplo de serivço que a Amazon fornece como SaaS","Amazon WorkMail"
"SI","Qual um exemplo de serviço que o Google fornece como SaaS","Google Apps for Work"
"SI","Qual um exemplo de serviço que a Microsoft fornece como SaaS","Office 365"
"SI","O que caracteriza um serviço de CaaS?","É caracterizado por prover infraestrutura para comunicação em nuvem, como VoIP, videoconferência, mensagens instantâneas, etc."
"SI","Qual um exemplo de serivço que a Amazon fornece como CaaS","Amazon Chime"
"SI","Qual um exemplo de serviço que o Google fornece como CaaS","Google Hangouts"
"SI","Qual um exemplo de serviço que a Microsoft fornece como CaaS","Skype for Business"
"SI","O que caracteriza um serviço de DaaS?","É caracterizado por prover infraestrutura para armazenamento de dados em nuvem."
"SI","Qual um exemplo de serivço que a Amazon fornece como DaaS","Amazon S3"
"SI","Qual um exemplo de serviço que o Google fornece como DaaS","Google Cloud Storage"
"SI","Qual um exemplo de serviço que a Microsoft fornece como DaaS","Azure Storage"
"SI","O que caracteriza um serviço de NaaS?","É caracterizado por prover infraestrutura para rede em nuvem."
"SI","Qual um exemplo de serivço que a Amazon fornece como NaaS","Amazon VPC"
"SI","Qual um exemplo de serviço que o Google fornece como NaaS","Google Cloud Virtual Network"
"SI","Qual um exemplo de serviço que a Microsoft fornece como NaaS","Azure Virtual Network"
"SI","O que caracteriza um serviço de FaaS?","É caracterizado por prover computação em nuvem que permite carregar funções individuais de software em um ambiente de nuvem gerenciado. Possibilitando executar e escalar automaticamente um serviço sem a necessidade de provisionar ou gerenciar servidores."
"SI","Qual um exemplo de serivço que a Amazon fornece como FaaS","AWS Lambda"
"SI","Qual um exemplo de serviço que o Google fornece como FaaS","Google Cloud Functions"
"SI","Qual um exemplo de serviço que a Microsoft fornece como FaaS","Azure Functions"
"SI","O que caracteriza um serviço de XaaS?","É caracterizado por prover qualquer serviço como um serviço em nuvem."
